COIN,POSITION,OPEN,CLOSE  ,PROFIT 1,PROFIT 2
BNB,LONG,218.89,217.78,-0.51%,-$0.75
BNB,SHORT,211.83,211.06,0.36%,$0.36
VET,LONG,0.01682,0.01639,-2.62%,-$2.57
ENJ,SHORT,0.2216,0.2251,-1.55%,-$1.54
DOGE 3H,LONG,0.06154,0.06104,-0.82%,-$0.78
DOGE 4,SHORT,0.06096,0.06035,1.01%,$0.96
ATOM,SHORT,6.863,6.77,1.37%,$1.31
UNI,SHORT,4.292,4.213,1.88%,$1.80
CELO,SHORT,0.433,0.427,1.41%,$1.38
EGLD,SHORT,23.34,23,1.48%,$1.47
NEO,SHORT,6.89,6.73,2.38%,$2.38
IOTA,SHORT,0.1501,0.1468,2.25%,$2.30
VET,SHORT,0.01647,0.01609,2.36%,$2.47
ATOM 4.1,LONG,7.21,6.811,-5.86%,-$6.06
KNC,SHORT,0.64,0.672,-4.76%,-$5.17
FTM,SHORT,0.1765,0.1722,2.50%,$2.39
VET,SHORT,0.01626,0.01666,-2.40%,-$2.48
DUSK,SHORT,0.105,0.1109,-5.32%,-$5.52
DOT,SHORT,3.615,3.711,-2.59%,-$2.46
KNC,SHORT,0.643,0.611,5.24%,$4.49
BNB,LONG,214.7,216.2,0.69%,$0.66
ZIL,LONG,0.01691,0.01737,2.65%,$2.59
DOGE,SHORT,0.05941,0.06013,-1.20%,-$1.19
VET,LONG,0.01654,0.01694,2.36%,$2.34
KNC,LONG,0.661,0.681,2.94%,$3.00
SOL,LONG,31.88,33.72,5.46%,$5.89
ANKR,LONG,0.02232,0.02301,3.00%,$3.34
SOL,LONG,33.1,32.11,-3.08%,-$3.33
UNI,LONG,4.359,4.074,-7.00%,-$7.06
FTM,LONG,0.233,0.2435,4.31%,$4.55
ANKR,LONG,0.02217,0.02294,3.36%,$3.67
ATOM,LONG,7.284,7.429,1.95%,$2.17
AVAX,LONG,11.17,11.65,4.12%,$4.79
IOTA,LONG,0.1578,0.1606,1.74%,$2.06
CELO,LONG,0.479,0.489,2.04%,$2.47
SOL,LONG,33.85,34.95,3.15%,$3.92
AVAX,LONG,11.33,11.66,2.83%,$3.63
DOT,LONG,4.326,4.434,2.44%,$3.20
ZIL,LONG,0.0195,0.01941,-0.46%,-$0.46
ONT,LONG,0.2126,0.2216,4.06%,$4.21
KNC,LONG,0.782,0.826,5.33%,$5.84
CELO,LONG,0.528,0.55,4.00%,$4.57
ATOM,LONG,7.943,8.272,3.98%,$4.73
ZEN,LONG,9.35,9.69,3.51%,$4.32
AVAX,LONG,12.23,12.95,5.56%,$7.25
EOS,LONG,0.655,0.69,5.40%,$7.45
Matic,LONG,0.6826,0.7053,3.22%,$4.59
FTM,LONG,0.2592,0.238,-8.91%,-$11.65
ALPACA,LONG,0.1673,0.1771,5.53%,$7.66
SUPER,LONG,0.0861,0.0882,2.38%,$3.38
SKL,LONG,0.02703,0.02856,5.36%,$8.03
ONE,LONG,0.01322,0.01375,3.85%,$6.01
VET,LONG,0.02002,0.02067,3.14%,$5.06
DOGE0,LONG,0.06939,0.07045,1.50%,$2.46
DOGE 4.1,LONG,0.0699,0.0714,2.10%,$3.51
MBL,LONG,0.004855,0.004469,-8.64%,-$13.27
FTM,LONG,0.2616,0.2705,3.29%,$5.23
KNC,LONG,0.802,0.782,-2.56%,-$3.96
AVAX,LONG,12.31,12.62,2.46%,$3.90
LIT,LONG,0.808,0.831,2.77%,$4.52
ZIL,SHORT,0.02073,0.02094,-1.00%,-$1.65
ANKR,LONG,0.02507,0.02581,2.87%,$4.77
FTM,LONG,0.2721,0.2816,3.37%,$5.81
SUPER,LONG,0.094,0.0966,2.69%,$4.77
AVAX,LONG,13.25,13.61,2.65%,$4.81
NEO,LONG,13.81,14.72,6.18%,$11.98
SOL,LONG,47.135,50.16,6.03%,$12.44
SOL,LONG,44.98,47.13,4.56%,$9.86
AVAX,LONG,13.29,13.81,3.77%,$8.46
ALPACA,LONG,0.1771,0.1817,2.53%,$5.83
SKL,LONG,0.02971,0.03102,4.22%,$10.16
LIT,SHORT,0.778,0.834,-6.71%,-$17.32
BNB,LONG,257.1,249.2,-3.17%,-$6.86
AVAX,LONG,14.5,15.66,7.41%,$17.32
FTM,LONG,0.2932,0.3103,5.51%,$13.63
DOGE,LONG,0.07886,0.07713,-2.24%,-$5.43
DOGE,LONG,0.07848,0.07456,-5.26%,-$12.09
ALPACA,LONG,0.1849,0.1921,3.75%,$8.95
